Model_Name,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Train_MAPE,Test_MAPE,CV_RMSE_Mean,CV_RMSE_Std,Training_Time,Best_Params
Lasso,60.81990772361175,54.40829644162751,38.456343753805356,27.81299437454645,0.6935264229670055,0.5227954312864338,0.28535621270475664,0.3098352246151934,66.73324223385632,,106.34280729293823,{'model__alpha': 0.05}
RandomForest,27.847658883428124,56.310406236875764,15.471179618511297,30.4287387142972,0.9357491460152155,0.4888461247828094,0.11455828230216841,0.3794700065102346,67.14290726008811,,39.742944955825806,"{'model__n_estimators': 250, 'model__min_samples_leaf': 3, 'model__max_depth': None}"
GradientBoosting,43.14139179957526,60.11164407257986,29.97851856987765,31.913774859655206,0.8457980636356772,0.41750587534374395,0.2376871685322732,0.3780598963080017,67.59260411818796,,72.74713444709778,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.9}"
GBR_Quantile,85.25242585441426,79.54234335765854,63.58201816268812,55.34505655919701,0.39783568538555525,-0.019931722093926352,0.5661709894711769,0.7146848038648879,89.98375017016103,,80.95428824424744,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__n_estimators': 300}"
