Model_Name,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Train_MAPE,Test_MAPE,Gap,CV_Best_Score,Best_Params,Training_Time
RandomForest,0.9549638216849298,1.4538815471274453,0.7623604078588629,1.114122896554971,0.7936887402183967,0.5043248985999527,0.06929799205513291,0.11478622735919505,0.2893638416184441,0.15891217999033244,"{'model__n_estimators': 200, 'model__min_samples_leaf': 2, 'model__max_depth': 8}",0.49092817306518555
GradientBoosting,1.211862558426125,1.598635658253443,0.9934376295022997,1.138049628021768,0.6677570082936598,0.4007085980242392,0.0901112263821636,0.1211378740100741,0.2670484102694206,0.11949970483500894,"{'model__subsample': 0.8, 'model__n_estimators': 150, 'model__max_depth': 2, 'model__learning_rate': 0.05}",0.3263280391693115
ElasticNet,1.8960106573451398,2.066820021707713,1.5133769432222948,1.5332710726857497,0.18673769788595196,-0.0017154569063471126,0.1418611141696692,0.1699307265580312,0.18845315479229907,-0.17053340377652404,"{'model__alpha': 0.1, 'model__l1_ratio': 0.7}",0.06090807914733887
Lasso,1.8966471192967422,2.0726206424461364,1.5199461024440233,1.539497757481583,0.18619160666336076,-0.007346063542249537,0.14243901317805813,0.17030294777796787,0.1935376702056103,-0.21281093241562912,{'model__alpha': 0.1},0.030640840530395508
Ridge,1.782218027104365,2.0944861943752184,1.4322931265729235,1.5644336720826164,0.28142722683520716,-0.02871260031269629,0.13327901021482416,0.1716089990520381,0.31013982714790345,-2.13403830373511,{'model__alpha': 10.0},0.03240370750427246
