Model_Name,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Train_MAPE,Test_MAPE,Gap,CV_Best_Score,Best_Params,Training_Time
RandomForest,1.0403135533998948,1.502971126722528,0.8363473402719097,1.2226386132970974,0.8001087098280675,0.504087061635005,0.09299978646999188,0.1594614891179258,0.2960216481930624,0.0967142240725758,"{'model__n_estimators': 200, 'model__min_samples_leaf': 2, 'model__max_depth': 8}",0.45119738578796387
GradientBoosting,1.3687660310372562,1.682373227905796,1.1395621450191364,1.2830976198348476,0.6539619983890386,0.37863203169638304,0.12678952050266368,0.17353205254651696,0.2753299666926555,0.05028972639155549,"{'model__subsample': 0.8, 'model__n_estimators': 150, 'model__max_depth': 2, 'model__learning_rate': 0.05}",0.31232690811157227
Ridge,1.9388484686026353,2.136059418336639,1.5755752243332546,1.6640883016722023,0.30569052201134084,-0.0016841977744703751,0.179528846688504,0.23288997888965782,0.3073747197858112,-4.295034108687813,{'model__alpha': 10.0},0.03497123718261719
ElasticNet,2.2110073607156595,2.21420402450036,1.617903152366741,1.7130414762639603,0.09708735606837149,-0.07631510630304983,0.1895948365426556,0.2526748712576719,0.17340246237142132,-0.3688592584469658,"{'model__alpha': 0.5, 'model__l1_ratio': 0.7}",0.06308364868164062
Lasso,2.2661636607502675,2.2472349963210463,1.6099727402807793,1.7370116114999297,0.051476925989315414,-0.10866705736845073,0.1897699508398095,0.258672383477543,0.16014398335776614,-0.43945051239123306,{'model__alpha': 0.5},0.030570030212402344
