Model_Name,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,Train_MAPE,Test_MAPE,Gap,CV_Best_Score,Best_Params,Training_Time
RandomForest,0.8844855970311449,1.5154095033112407,0.6830639431526903,1.1613634575758756,0.8232070979007288,0.47978149665455594,0.06687260864986778,0.13164119070051683,0.34342560124617283,0.16095773804356506,"{'model__n_estimators': 200, 'model__min_samples_leaf': 2, 'model__max_depth': None}",0.45003676414489746
GradientBoosting,1.2061442239443758,1.6621294343437265,0.9858635545376846,1.1843264946847007,0.6712378762708796,0.37417131789424307,0.09560436466579646,0.13918131684147517,0.29706655837663654,0.12099400221712826,"{'model__subsample': 0.8, 'model__n_estimators': 150, 'model__max_depth': 2, 'model__learning_rate': 0.05}",0.38989806175231934
ElasticNet,1.8981438816711536,2.1060917767043197,1.524129881110156,1.526576529596411,0.18578039874869612,-0.004801714117629308,0.1536612310069734,0.18790265728489466,0.19058211286632543,-0.16841280298596772,"{'model__alpha': 0.1, 'model__l1_ratio': 0.7}",0.06310701370239258
Lasso,1.897659408712494,2.111002070182854,1.5287486661287013,1.5317448334920347,0.18619598056213305,-0.009492509599069443,0.1540803587286405,0.18817118135646627,0.1956884901612025,-0.19211745058481658,{'model__alpha': 0.1},0.9555144309997559
Ridge,1.7803210564841334,2.1294775598510074,1.4332420524281257,1.5713565073131455,0.28372473950522414,-0.027239990659398305,0.14336901016266712,0.19096721313530404,0.31096473016462245,-1.6465788577439138,{'model__alpha': 10.0},1.6840345859527588
